musician_id,show_id,available
M01,S0001,0
M02,S0001,0
M03,S0001,1
M04,S0001,0
M05,S0001,0
M06,S0001,1
M07,S0001,0
M08,S0001,1
M09,S0001,0
M10,S0001,1
M11,S0001,0
M12,S0001,1
M13,S0001,0
M14,S0001,0
M15,S0001,0
M16,S0001,1
M17,S0001,0
M18,S0001,1
M19,S0001,1
M20,S0001,0
M21,S0001,0
M22,S0001,0
M23,S0001,0
M24,S0001,0
M25,S0001,0
M26,S0001,1
M27,S0001,0
M28,S0001,0
M29,S0001,0
M30,S0001,0
M31,S0001,1
M32,S0001,0
M33,S0001,0
M34,S0001,1
M35,S0001,0
M36,S0001,1
M37,S0001,0
M38,S0001,1
M39,S0001,0
M40,S0001,0
M41,S0001,0
M42,S0001,1
M43,S0001,0
M44,S0001,0
M45,S0001,0
M46,S0001,0
M47,S0001,1
M48,S0001,1
M49,S0001,0
M50,S0001,1
M51,S0001,0
M52,S0001,0
M53,S0001,0
M54,S0001,0
M55,S0001,0
M56,S0001,0
M57,S0001,0
M58,S0001,0
M59,S0001,0
M60,S0001,0
M01,S0002,0
M02,S0002,0
M03,S0002,1
M04,S0002,0
M05,S0002,0
M06,S0002,1
M07,S0002,0
M08,S0002,0
M09,S0002,0
M10,S0002,1
M11,S0002,0
M12,S0002,0
M13,S0002,0
M14,S0002,0
M15,S0002,0
M16,S0002,1
M17,S0002,0
M18,S0002,1
M19,S0002,1
M20,S0002,0
M21,S0002,0
M22,S0002,0
M23,S0002,0
M24,S0002,0
M25,S0002,0
M26,S0002,1
M27,S0002,0
M28,S0002,0
M29,S0002,0
M30,S0002,0
M31,S0002,1
M32,S0002,0
M33,S0002,0
M34,S0002,1
M35,S0002,0
M36,S0002,1
M37,S0002,0
M38,S0002,1
M39,S0002,0
M40,S0002,0
M41,S0002,0
M42,S0002,1
M43,S0002,0
M44,S0002,0
M45,S0002,0
M46,S0002,0
M47,S0002,1
M48,S0002,1
M49,S0002,0
M50,S0002,1
M51,S0002,0
M52,S0002,0
M53,S0002,0
M54,S0002,0
M55,S0002,0
M56,S0002,0
M57,S0002,0
M58,S0002,0
M59,S0002,0
M60,S0002,0
M01,S0003,0
M02,S0003,0
M03,S0003,0
M04,S0003,0
M05,S0003,1
M06,S0003,0
M07,S0003,0
M08,S0003,1
M09,S0003,0
M10,S0003,0
M11,S0003,0
M12,S0003,1
M13,S0003,1
M14,S0003,0
M15,S0003,0
M16,S0003,1
M17,S0003,1
M18,S0003,0
M19,S0003,0
M20,S0003,0
M21,S0003,1
M22,S0003,0
M23,S0003,0
M24,S0003,1
M25,S0003,0
M26,S0003,0
M27,S0003,1
M28,S0003,1
M29,S0003,0
M30,S0003,1
M31,S0003,0
M32,S0003,0
M33,S0003,0
M34,S0003,0
M35,S0003,0
M36,S0003,0
M37,S0003,1
M38,S0003,1
M39,S0003,0
M40,S0003,0
M41,S0003,1
M42,S0003,0
M43,S0003,0
M44,S0003,0
M45,S0003,1
M46,S0003,0
M47,S0003,0
M48,S0003,0
