musician_id,facility_id,distance_km
M01,SH01,29.7
M01,SH02,11.9
M01,SH03,22.9
M01,SH04,25.9
M01,SH05,37.7
M01,SH06,16.2
M01,SH07,1.2
M02,SH01,14.5
M02,SH02,5.8
M02,SH03,10.9
M02,SH04,20.0
M02,SH05,34.9
M02,SH06,18.3
M02,SH07,18.6
M03,SH01,31.0
M03,SH02,14.8
M03,SH03,13.0
M03,SH04,34.3
M03,SH05,48.5
M03,SH06,1.7
M03,SH07,15.4
M04,SH01,41.2
M04,SH02,22.7
M04,SH03,27.5
M04,SH04,39.2
M04,SH05,50.9
M04,SH06,14.4
M04,SH07,12.5
M05,SH01,14.2
M05,SH02,17.9
M05,SH03,29.2
M05,SH04,1.6
M05,SH05,16.5
M05,SH06,34.4
M05,SH07,25.5
M06,SH01,5.7
M06,SH02,12.9
M06,SH03,17.7
M06,SH04,14.7
M06,SH05,29.2
M06,SH06,27.2
M06,SH07,25.4
M07,SH01,14.1
M07,SH02,4.5
M07,SH03,13.9
M07,SH04,17.2
M07,SH05,32.1
M07,SH06,19.7
M07,SH07,17.3
M08,SH01,19.9
M08,SH02,4.4
M08,SH03,18.6
M08,SH04,17.4
M08,SH05,31.1
M08,SH06,19.1
M08,SH07,11.0
M09,SH01,30.4
M09,SH02,35.8
M09,SH03,47.8
M09,SH04,17.2
M09,SH05,2.5
M09,SH06,51.8
M09,SH07,39.7
M10,SH01,3.6
M10,SH02,17.1
M10,SH03,18.8
M10,SH04,17.5
M10,SH05,31.2
M10,SH06,30.1
M10,SH07,29.8
M11,SH01,21.2
M11,SH02,13.3
M11,SH03,1.0
M11,SH04,29.6
M11,SH05,44.6
M11,SH06,14.4
M11,SH07,23.0
M12,SH01,35.9
M12,SH02,31.6
M12,SH03,17.5
M12,SH04,47.2
M12,SH05,62.1
M12,SH06,24.9
M12,SH07,39.3
M13,SH01,2.2
M13,SH02,18.1
M13,SH03,23.1
M13,SH04,12.7
M13,SH05,25.8
M13,SH06,33.0
M13,SH07,30.0
M14,SH01,5.4
M14,SH02,22.7
M14,SH03,27.4
M14,SH04,13.6
M14,SH05,24.4
M14,SH06,37.7
M14,SH07,34.3
M15,SH01,13.8
M15,SH02,5.1
M15,SH03,16.2
M15,SH04,15.1
M15,SH05,29.9
M15,SH06,21.3
M15,SH07,17.1
M16,SH01,40.0
M16,SH02,33.9
M16,SH03,20.1
M16,SH04,50.6
M16,SH05,65.5
M16,SH06,24.7
M16,SH07,40.1
M17,SH01,3.0
M17,SH02,17.0
M17,SH03,19.3
M17,SH04,16.8
M17,SH05,30.5
M17,SH06,30.4
M17,SH07,29.7
M18,SH01,46.1
M18,SH02,40.9
M18,SH03,27.1
M18,SH04,57.3
M18,SH05,72.3
M18,SH06,31.3
M18,SH07,47.0
M19,SH01,21.1
M19,SH02,18.4
M19,SH03,5.7
M19,SH04,32.1
M19,SH05,47.0
M19,SH06,19.7
M19,SH07,29.0
M20,SH01,32.3
M20,SH02,13.8
M20,SH03,21.0
M20,SH04,30.7
M20,SH05,43.2
M20,SH06,11.2
M20,SH07,5.5
M21,SH01,25.3
M21,SH02,33.3
M21,SH03,44.2
M21,SH04,13.8
M21,SH05,4.0
M21,SH06,49.7
M21,SH07,39.2
M22,SH01,4.5
M22,SH02,23.0
M22,SH03,25.7
M22,SH04,16.9
M22,SH05,28.2
M22,SH06,36.9
M22,SH07,35.2
M23,SH01,17.2
M23,SH02,3.0
M23,SH03,16.7
M23,SH04,16.7
M23,SH05,31.0
M23,SH06,19.3
M23,SH07,13.6
M24,SH01,33.5
M24,SH02,18.4
M24,SH03,13.5
M24,SH04,37.9
M24,SH05,52.3
M24,SH06,3.1
M24,SH07,19.3
M25,SH01,34.0
M25,SH02,16.7
M25,SH03,17.1
M25,SH04,35.8
M25,SH05,49.5
M25,SH06,3.5
M25,SH07,13.8
M26,SH01,31.0
M26,SH02,36.5
M26,SH03,48.5
M26,SH04,17.9
M26,SH05,3.1
M26,SH06,52.6
M26,SH07,40.4
M27,SH01,2.9
M27,SH02,15.8
M27,SH03,20.8
M27,SH04,13.2
M27,SH05,27.1
M27,SH06,30.5
M27,SH07,28.0
M28,SH01,20.0
M28,SH02,2.0
M28,SH03,13.1
M28,SH04,21.6
M28,SH05,35.9
M28,SH06,14.5
M28,SH07,12.4
M29,SH01,19.7
M29,SH02,20.5
M29,SH03,33.1
M29,SH04,5.1
M29,SH05,13.6
M29,SH06,36.5
M29,SH07,25.3
M30,SH01,16.1
M30,SH02,19.8
M30,SH03,31.3
M30,SH04,1.2
M30,SH05,14.4
M30,SH06,36.2
M30,SH07,26.6
M31,SH01,19.8
M31,SH02,15.5
M31,SH03,3.7
M31,SH04,29.9
M31,SH05,44.8
M31,SH06,17.9
M31,SH07,26.2
M32,SH01,2.2
