show_id,musician_id,planned_set_min,status,actual_set_min
S0001,M19,9,no_show,0
S0001,M42,9,attended,9
S0001,M48,9,attended,9
S0001,M06,6,attended,6
S0001,M38,9,attended,9
S0001,M34,6,attended,6
S0001,M18,6,attended,6
S0001,M12,9,attended,9
S0001,M16,6,attended,6
S0002,M26,9,attended,9
S0002,M48,9,attended,9
S0002,M42,9,late_cancel,0
S0002,M06,6,attended,6
S0002,M16,6,attended,6
S0002,M19,9,attended,9
S0002,M34,6,attended,6
S0002,M31,9,attended,9
S0002,M36,9,attended,9
S0003,M28,6,late_cancel,0
S0003,M21,9,attended,9
S0003,M05,9,late_cancel,0
S0003,M37,6,attended,6
S0003,M45,9,attended,9
S0003,M13,9,no_show,0
S0003,M27,6,attended,6
S0003,M08,6,attended,6
S0003,M58,9,attended,9
S0003,M38,9,attended,9
S0004,M30,9,attended,9
S0004,M21,9,attended,9
S0004,M41,9,attended,9
S0004,M40,9,attended,9
S0004,M16,6,attended,6
S0004,M22,6,attended,6
S0004,M03,6,attended,6
S0004,M55,9,attended,9
S0004,M12,9,attended,9
S0004,M58,9,attended,9
S0005,M45,9,attended,9
S0005,M09,9,attended,9
S0005,M15,6,attended,6
S0005,M05,9,attended,9
S0005,M48,9,attended,9
S0005,M03,6,attended,6
S0005,M55,9,attended,9
S0006,M13,9,attended,9
S0006,M15,6,attended,6
S0006,M05,9,attended,9
S0006,M37,6,attended,6
S0006,M48,9,attended,9
S0006,M38,9,attended,9
S0006,M03,6,attended,6
S0007,M23,6,attended,6
S0007,M09,9,attended,9
S0007,M15,6,late_cancel,0
S0007,M18,6,attended,6
S0007,M24,6,attended,6
S0007,M40,9,attended,9
S0007,M50,9,attended,9
S0008,M50,9,attended,9
S0008,M09,9,attended,9
S0008,M15,6,no_show,0
S0008,M29,6,attended,6
S0008,M27,6,attended,6
S0008,M30,9,late_cancel,0
S0008,M24,6,attended,6
S0009,M03,6,attended,6
S0009,M48,9,attended,9
S0009,M06,6,late_cancel,0
S0009,M42,9,attended,9
S0009,M19,9,attended,9
S0009,M49,9,attended,9
S0009,M16,6,attended,6
S0010,M19,9,attended,9
S0010,M42,9,attended,9
S0010,M06,6,attended,6
S0010,M48,9,late_cancel,0
S0010,M26,9,attended,9
S0010,M10,9,attended,9
S0010,M41,9,attended,9
S0011,M25,9,attended,9
S0011,M15,6,late_cancel,0
S0011,M57,6,attended,6
S0011,M37,6,attended,6
S0011,M06,6,attended,6
S0011,M09,9,no_show,0
S0011,M42,9,late_cancel,0
S0011,M43,6,attended,6
S0012,M43,6,late_cancel,0
S0012,M06,6,attended,6
S0012,M57,6,attended,6
S0012,M42,9,attended,9
S0012,M09,9,attended,9
S0012,M37,6,attended,6
S0012,M11,9,no_show,0
S0012,M07,9,no_show,0
S0013,M30,9,attended,9
S0013,M55,9,attended,9
S0013,M24,6,attended,6
S0013,M41,9,attended,9
S0013,M16,6,attended,6
S0013,M27,6,late_cancel,0
S0013,M58,9,attended,9
S0013,M28,6,attended,6
S0013,M08,6,attended,6
S0014,M16,6,attended,6
S0014,M12,9,attended,9
S0014,M58,9,attended,9
S0014,M41,9,attended,9
S0014,M36,9,attended,9
S0014,M45,9,attended,9
S0014,M17,9,attended,9
S0014,M11,9,attended,9
S0014,M30,9,attended,9
S0015,M10,9,attended,9
S0015,M42,9,attended,9
S0015,M48,9,attended,9
S0015,M06,6,attended,6
S0015,M18,6,attended,6
S0015,M03,6,late_cancel,0
S0015,M16,6,late_cancel,0
S0015,M19,9,attended,9
S0015,M12,9,attended,9
S0016,M36,9,attended,9
S0016,M48,9,attended,9
S0016,M06,6,attended,6
S0016,M42,9,attended,9
S0016,M31,9,attended,9
S0016,M16,6,attended,6
S0016,M34,6,attended,6
S0016,M18,6,attended,6
S0016,M08,6,attended,6
S0017,M02,6,attended,6
S0017,M22,6,attended,6
S0017,M58,9,attended,9
S0017,M16,6,no_show,0
S0017,M08,6,attended,6
S0017,M17,9,attended,9
S0017,M12,9,attended,9
S0017,M38,9,attended,9
S0017,M27,6,attended,6
S0017,M55,9,attended,9
S0018,M38,9,attended,9
S0018,M21,9,attended,9
S0018,M55,9,attended,9
S0018,M51,6,attended,6
S0018,M25,9,attended,9
S0018,M30,9,attended,9
S0018,M40,9,attended,9
S0018,M41,9,late_cancel,0
S0018,M16,6,attended,6
S0018,M24,6,late_cancel,0
S0019,M13,9,attended,9
S0019,M15,6,attended,6
S0019,M05,9,attended,9
S0019,M48,9,attended,9
S0019,M37,6,attended,6
S0019,M14,9,attended,9
S0019,M28,6,attended,6
S0020,M31,9,attended,9
S0020,M05,9,attended,9
S0020,M15,6,attended,6
S0020,M48,9,no_show,0
S0020,M37,6,attended,6
S0020,M28,6,no_show,0
S0020,M07,9,attended,9
S0021,M29,6,no_show,0
S0021,M15,6,attended,6
S0021,M09,9,attended,9
S0021,M24,6,late_cancel,0
S0021,M11,9,attended,9
S0021,M30,9,attended,9
S0021,M50,9,late_cancel,0
S0022,M07,9,attended,9
S0022,M15,6,attended,6
S0022,M42,9,attended,9
S0022,M29,6,attended,6
S0022,M36,9,attended,9
S0022,M40,9,attended,9
S0022,M50,9,attended,9
S0023,M08,6,attended,6
S0023,M42,9,attended,9
S0023,M48,9,attended,9
S0023,M06,6,attended,6
S0023,M45,9,attended,9
S0023,M26,9,attended,9
S0023,M03,6,attended,6
S0024,M10,9,attended,9
S0024,M42,9,no_show,0
S0024,M06,6,attended,6
S0024,M48,9,attended,9
S0024,M19,9,attended,9
S0024,M16,6,late_cancel,0
S0024,M36,9,late_cancel,0
S0025,M45,9,attended,9
S0025,M57,6,attended,6
S0025,M42,9,attended,9
S0025,M06,6,no_show,0
S0025,M37,6,attended,6
S0025,M38,9,attended,9
S0025,M46,9,attended,9
S0025,M11,9,attended,9
S0026,M11,9,late_cancel,0
S0026,M06,6,attended,6
S0026,M09,9,late_cancel,0
S0026,M57,6,late_cancel,0
S0026,M42,9,attended,9
S0026,M31,9,attended,9
S0026,M10,9,attended,9
S0026,M43,6,attended,6
S0027,M04,9,attended,9
S0027,M48,9,attended,9
S0027,M43,6,attended,6
S0027,M12,9,attended,9
S0027,M17,9,attended,9
S0027,M27,6,attended,6
S0027,M58,9,attended,9
S0027,M38,9,attended,9
S0027,M41,9,attended,9
S0028,M45,9,attended,9
S0028,M05,9,attended,9
S0028,M50,9,late_cancel,0
S0028,M41,9,attended,9
S0028,M27,6,attended,6
S0028,M30,9,attended,9
S0028,M58,9,attended,9
S0028,M16,6,attended,6
S0028,M55,9,attended,9
S0029,M38,9,late_cancel,0
S0029,M48,9,attended,9
S0029,M42,9,attended,9
S0029,M06,6,attended,6
S0029,M05,9,attended,9
S0029,M34,6,attended,6
S0029,M43,6,attended,6
S0029,M14,9,attended,9
S0029,M16,6,attended,6
S0030,M31,9,attended,9
S0030,M48,9,attended,9
S0030,M42,9,attended,9
S0030,M06,6,attended,6
S0030,M34,6,attended,6
S0030,M18,6,attended,6
S0030,M26,9,late_cancel,0
S0030,M36,9,attended,9
S0030,M08,6,attended,6
S0031,M58,9,attended,9
S0031,M21,9,attended,9
S0031,M37,6,attended,6
S0031,M12,9,attended,9
S0031,M40,9,attended,9
S0031,M27,6,late_cancel,0
S0031,M22,6,attended,6
S0031,M41,9,attended,9
S0031,M28,6,late_cancel,0
S0031,M38,9,attended,9
S0032,M28,6,attended,6
S0032,M21,9,attended,9
S0032,M45,9,attended,9
S0032,M30,9,attended,9
S0032,M38,9,attended,9
S0032,M08,6,attended,6
S0032,M13,9,attended,9
S0032,M58,9,attended,9
S0032,M27,6,attended,6
S0032,M17,9,attended,9
S0033,M14,9,attended,9
S0033,M15,6,attended,6
S0033,M09,9,attended,9
S0033,M37,6,attended,6
S0033,M48,9,attended,9
S0033,M05,9,attended,9
S0033,M45,9,attended,9
S0034,M30,9,attended,9
S0034,M48,9,attended,9
S0034,M15,6,attended,6
S0034,M05,9,attended,9
S0034,M37,6,attended,6
S0034,M07,9,attended,9
S0034,M45,9,attended,9
S0035,M40,9,attended,9
S0035,M09,9,attended,9
S0035,M53,6,attended,6
S0035,M11,9,attended,9
S0035,M44,9,attended,9
S0035,M27,6,attended,6
S0035,M24,6,attended,6
S0036,M44,9,late_cancel,0
S0036,M09,9,attended,9
S0036,M15,6,attended,6
S0036,M36,9,attended,9
S0036,M11,9,attended,9
S0036,M08,6,no_show,0
S0036,M18,6,attended,6
S0037,M03,6,attended,6
S0037,M05,9,attended,9
S0037,M06,6,attended,6
S0037,M48,9,attended,9
S0037,M42,9,attended,9
S0037,M08,6,attended,6
S0037,M12,9,attended,9
S0038,M16,6,attended,6
S0038,M42,9,attended,9
S0038,M06,6,attended,6
S0038,M48,9,attended,9
S0038,M03,6,no_show,0
S0038,M10,9,attended,9
S0038,M26,9,attended,9
S0039,M10,9,attended,9
S0039,M57,6,late_cancel,0
S0039,M06,6,attended,6
S0039,M37,6,attended,6
S0039,M09,9,attended,9
S0039,M42,9,attended,9
S0039,M16,6,attended,6
S0039,M44,9,late_cancel,0
S0040,M16,6,no_show,0
S0040,M57,6,attended,6
S0040,M37,6,attended,6
S0040,M06,6,attended,6
S0040,M42,9,attended,9
S0040,M09,9,attended,9
S0040,M10,9,attended,9
S0040,M13,9,attended,9
S0041,M17,9,attended,9
S0041,M41,9,attended,9
S0041,M24,6,attended,6
S0041,M12,9,attended,9
S0041,M38,9,late_cancel,0
S0041,M45,9,attended,9
S0041,M30,9,attended,9
S0041,M27,6,attended,6
S0041,M55,9,attended,9
S0042,M58,9,late_cancel,0
S0042,M08,6,attended,6
S0042,M47,9,late_cancel,0
S0042,M24,6,attended,6
S0042,M41,9,attended,9
S0042,M12,9,attended,9
S0042,M19,9,attended,9
S0042,M17,9,attended,9
S0042,M38,9,attended,9
S0043,M10,9,attended,9
S0043,M06,6,late_cancel,0
S0043,M42,9,attended,9
S0043,M03,6,attended,6
S0043,M38,9,late_cancel,0
S0043,M08,6,attended,6
S0043,M18,6,attended,6
S0043,M36,9,attended,9
S0043,M19,9,attended,9
S0044,M54,6,attended,6
S0044,M42,9,attended,9
S0044,M48,9,attended,9
S0044,M06,6,attended,6
S0044,M18,6,attended,6
S0044,M26,9,late_cancel,0
S0044,M16,6,attended,6
S0044,M08,6,attended,6
S0044,M10,9,attended,9
S0045,M58,9,attended,9
S0045,M09,9,attended,9
S0045,M30,9,attended,9
S0045,M12,9,attended,9
S0045,M22,6,attended,6
S0045,M27,6,attended,6
S0045,M24,6,late_cancel,0
S0045,M16,6,no_show,0
S0045,M50,9,attended,9
S0045,M10,9,attended,9
S0046,M24,6,attended,6
S0046,M21,9,attended,9
S0046,M05,9,attended,9
S0046,M55,9,attended,9
S0046,M45,9,late_cancel,0
S0046,M27,6,attended,6
S0046,M28,6,attended,6
S0046,M38,9,attended,9
S0046,M17,9,attended,9
S0046,M40,9,attended,9
S0047,M55,9,attended,9
S0047,M37,6,attended,6
S0047,M05,9,attended,9
S0047,M15,6,attended,6
S0047,M48,9,attended,9
S0047,M47,9,attended,9
S0047,M24,6,attended,6
S0048,M20,9,attended,9
S0048,M15,6,attended,6
S0048,M48,9,attended,9
S0048,M05,9,attended,9
S0048,M37,6,attended,6
S0048,M07,9,attended,9
S0048,M28,6,attended,6
S0049,M29,6,attended,6
S0049,M15,6,attended,6
S0049,M09,9,attended,9
S0049,M11,9,attended,9
S0049,M33,9,attended,9
S0049,M50,9,attended,9
S0049,M07,9,attended,9
S0050,M11,9,attended,9
S0050,M09,9,attended,9
S0050,M15,6,attended,6
S0050,M37,6,attended,6
S0050,M27,6,attended,6
S0050,M18,6,attended,6
S0050,M24,6,attended,6
S0051,M08,6,attended,6
S0051,M42,9,attended,9
S0051,M48,9,attended,9
S0051,M31,9,attended,9
S0051,M04,9,attended,9
S0051,M12,9,attended,9
S0051,M36,9,attended,9
S0052,M16,6,attended,6
S0052,M09,9,attended,9
S0052,M42,9,attended,9
S0052,M48,9,attended,9
S0052,M06,6,attended,6
S0052,M18,6,attended,6
S0052,M12,9,attended,9
S0053,M16,6,attended,6
S0053,M09,9,attended,9
S0053,M57,6,attended,6
S0053,M37,6,attended,6
S0053,M42,9,attended,9
S0053,M06,6,attended,6
S0053,M38,9,attended,9
S0053,M10,9,attended,9
S0054,M56,9,attended,9
S0054,M09,9,attended,9
S0054,M57,6,late_cancel,0
S0054,M37,6,attended,6
S0054,M06,6,attended,6
S0054,M02,6,attended,6
S0054,M32,9,attended,9
S0054,M13,9,attended,9
S0055,M58,9,late_cancel,0
S0055,M41,9,attended,9
S0055,M17,9,late_cancel,0
S0055,M12,9,attended,9
S0055,M30,9,attended,9
S0055,M08,6,late_cancel,0
S0055,M38,9,attended,9
S0055,M55,9,attended,9
S0055,M28,6,attended,6
S0056,M28,6,attended,6
S0056,M57,6,attended,6
S0056,M38,9,attended,9
S0056,M16,6,attended,6
S0056,M08,6,attended,6
S0056,M45,9,attended,9
S0056,M58,9,attended,9
S0056,M30,9,attended,9
S0056,M34,6,attended,6
S0057,M26,9,attended,9
S0057,M06,6,late_cancel,0
S0057,M48,9,attended,9
S0057,M09,9,attended,9
S0057,M42,9,attended,9
S0057,M27,6,attended,6
S0057,M45,9,attended,9
S0057,M16,6,late_cancel,0
S0057,M38,9,attended,9
S0058,M17,9,attended,9
S0058,M06,6,attended,6
S0058,M48,9,attended,9
S0058,M42,9,attended,9
S0058,M10,9,attended,9
S0058,M03,6,attended,6
S0058,M47,9,attended,9
S0058,M19,9,attended,9
S0058,M36,9,attended,9
S0059,M27,6,attended,6
S0059,M21,9,attended,9
S0059,M22,6,attended,6
S0059,M58,9,attended,9
S0059,M24,6,attended,6
S0059,M30,9,attended,9
S0059,M45,9,attended,9
S0059,M08,6,attended,6
S0059,M41,9,attended,9
S0059,M28,6,attended,6
S0060,M24,6,late_cancel,0
S0060,M21,9,attended,9
S0060,M15,6,attended,6
S0060,M45,9,attended,9
S0060,M38,9,attended,9
S0060,M22,6,attended,6
S0060,M16,6,attended,6
S0060,M30,9,attended,9
S0060,M58,9,attended,9
S0060,M40,9,attended,9
S0061,M30,9,attended,9
S0061,M15,6,late_cancel,0
S0061,M05,9,attended,9
S0061,M37,6,attended,6
S0061,M31,9,attended,9
S0061,M07,9,attended,9
S0061,M35,9,attended,9
S0062,M30,9,attended,9
S0062,M37,6,attended,6
S0062,M05,9,attended,9
S0062,M15,6,attended,6
S0062,M48,9,attended,9
S0062,M56,9,attended,9
S0062,M14,9,attended,9
S0063,M11,9,attended,9
S0063,M15,6,attended,6
S0063,M09,9,no_show,0
S0063,M30,9,attended,9
S0063,M44,9,attended,9
S0063,M18,6,late_cancel,0
S0063,M50,9,attended,9
S0064,M44,9,late_cancel,0
S0064,M15,6,late_cancel,0
S0064,M09,9,attended,9
S0064,M27,6,attended,6
S0064,M29,6,attended,6
S0064,M50,9,late_cancel,0
S0064,M36,9,attended,9
S0065,M30,9,attended,9
S0065,M42,9,late_cancel,0
S0065,M06,6,attended,6
S0065,M48,9,no_show,0
S0065,M12,9,attended,9
S0065,M10,9,attended,9
S0065,M02,6,attended,6
S0066,M08,6,attended,6
S0066,M48,9,late_cancel,0
S0066,M06,6,attended,6
S0066,M42,9,no_show,0
S0066,M36,9,attended,9
S0066,M16,6,attended,6
S0066,M31,9,attended,9
S0067,M23,6,no_show,0
S0067,M42,9,attended,9
S0067,M09,9,attended,9
S0067,M57,6,attended,6
S0067,M06,6,attended,6
S0067,M37,6,late_cancel,0
S0067,M07,9,attended,9
S0067,M53,6,attended,6
S0068,M32,9,attended,9
S0068,M06,6,attended,6
S0068,M42,9,attended,9
S0068,M09,9,attended,9
S0068,M57,6,late_cancel,0
S0068,M37,6,late_cancel,0
S0068,M44,9,attended,9
S0068,M53,6,attended,6
S0069,M30,9,attended,9
S0069,M37,6,late_cancel,0
S0069,M06,6,late_cancel,0
S0069,M53,6,late_cancel,0
S0069,M46,9,attended,9
S0069,M27,6,attended,6
S0069,M38,9,no_show,0
S0069,M58,9,attended,9
S0069,M08,6,late_cancel,0
S0070,M38,9,late_cancel,0
S0070,M16,6,attended,6
S0070,M36,9,attended,9
S0070,M27,6,attended,6
S0070,M08,6,attended,6
S0070,M30,9,attended,9
S0070,M24,6,late_cancel,0
S0070,M13,9,attended,9
S0070,M55,9,attended,9
S0071,M44,9,attended,9
S0071,M42,9,late_cancel,0
S0071,M06,6,attended,6
S0071,M48,9,attended,9
S0071,M34,6,attended,6
S0071,M31,9,attended,9
S0071,M36,9,attended,9
S0071,M10,9,attended,9
S0071,M38,9,attended,9
S0072,M16,6,late_cancel,0
S0072,M42,9,attended,9
S0072,M06,6,attended,6
S0072,M05,9,attended,9
S0072,M48,9,attended,9
S0072,M44,9,late_cancel,0
S0072,M31,9,late_cancel,0
S0072,M27,6,attended,6
S0072,M19,9,attended,9
S0073,M39,9,late_cancel,0
S0073,M21,9,attended,9
S0073,M38,9,attended,9
S0073,M17,9,attended,9
S0073,M12,9,attended,9
S0073,M27,6,attended,6
S0073,M41,9,attended,9
S0073,M31,9,attended,9
S0073,M45,9,attended,9
S0073,M55,9,attended,9
S0074,M24,6,attended,6
S0074,M21,9,attended,9
S0074,M09,9,attended,9
S0074,M55,9,attended,9
S0074,M22,6,attended,6
S0074,M32,9,attended,9
S0074,M40,9,attended,9
S0074,M58,9,attended,9
S0074,M27,6,attended,6
S0074,M16,6,attended,6
S0075,M04,9,attended,9
S0075,M37,6,attended,6
S0075,M15,6,attended,6
S0075,M48,9,attended,9
S0075,M05,9,late_cancel,0
S0075,M56,9,late_cancel,0
S0075,M32,9,attended,9
S0076,M14,9,attended,9
S0076,M15,6,attended,6
S0076,M06,6,late_cancel,0
S0076,M48,9,attended,9
S0076,M37,6,attended,6
S0076,M28,6,attended,6
S0076,M32,9,attended,9
S0077,M30,9,attended,9
S0077,M15,6,attended,6
S0077,M09,9,attended,9
S0077,M29,6,attended,6
S0077,M18,6,attended,6
S0077,M07,9,attended,9
S0077,M27,6,no_show,0
S0078,M22,6,late_cancel,0
S0078,M09,9,attended,9
S0078,M15,6,attended,6
S0078,M37,6,late_cancel,0
S0078,M29,6,late_cancel,0
S0078,M07,9,attended,9
S0078,M50,9,no_show,0
S0079,M16,6,attended,6
S0079,M06,6,attended,6
S0079,M57,6,attended,6
S0079,M42,9,attended,9
S0079,M48,9,attended,9
S0079,M26,9,attended,9
S0079,M36,9,attended,9
S0080,M10,9,attended,9
S0080,M48,9,attended,9
S0080,M42,9,attended,9
S0080,M06,6,attended,6
S0080,M31,9,late_cancel,0
S0080,M14,9,attended,9
S0080,M47,9,attended,9
S0081,M16,6,attended,6
S0081,M09,9,attended,9
S0081,M06,6,attended,6
S0081,M57,6,attended,6
S0081,M37,6,late_cancel,0
S0081,M42,9,attended,9
S0081,M43,6,attended,6
S0081,M10,9,attended,9
S0082,M10,9,attended,9
S0082,M57,6,attended,6
S0082,M06,6,no_show,0
S0082,M37,6,attended,6
S0082,M42,9,attended,9
S0082,M09,9,attended,9
S0082,M23,6,attended,6
S0082,M32,9,attended,9
S0083,M24,6,late_cancel,0
S0083,M48,9,attended,9
S0083,M16,6,attended,6
S0083,M45,9,attended,9
S0083,M30,9,attended,9
S0083,M17,9,attended,9
S0083,M28,6,attended,6
S0083,M12,9,attended,9
S0083,M27,6,attended,6
S0084,M02,6,attended,6
S0084,M17,9,attended,9
S0084,M27,6,attended,6
S0084,M45,9,attended,9
S0084,M30,9,late_cancel,0
S0084,M28,6,attended,6
S0084,M38,9,attended,9
S0084,M55,9,attended,9
S0084,M16,6,attended,6
