m1,m2,km
M01,M02,17.5
M02,M01,17.5
M01,M03,15.2
M03,M01,15.2
M01,M04,13.4
M04,M01,13.4
M01,M05,24.4
M05,M01,24.4
M01,M06,24.3
M06,M01,24.3
M01,M07,16.2
M07,M01,16.2
M01,M08,9.9
M08,M01,9.9
M01,M09,38.9
M09,M01,38.9
M01,M10,28.7
M10,M01,28.7
M01,M11,22.2
M11,M01,22.2
M01,M12,38.8
M12,M01,38.8
M01,M13,28.8
M13,M01,28.8
M01,M14,33.1
M14,M01,33.1
M01,M15,15.9
M15,M01,15.9
M01,M16,39.7
M16,M01,39.7
M01,M17,28.6
M17,M01,28.6
M01,M18,46.6
M18,M01,46.6
M01,M19,28.1
M19,M01,28.1
M01,M20,5.9
M20,M01,5.9
M01,M21,38.3
M21,M01,38.3
M01,M22,34.1
M22,M01,34.1
M01,M23,12.4
M23,M01,12.4
M01,M24,19.2
M24,M01,19.2
M01,M25,13.9
M25,M01,13.9
M01,M26,39.6
M26,M01,39.6
M01,M27,26.8
M27,M01,26.8
M01,M28,11.4
M28,M01,11.4
M01,M29,24.4
M29,M01,24.4
M01,M30,25.6
M30,M01,25.6
M01,M31,25.4
M31,M01,25.4
M01,M32,30.6
M32,M01,30.6
M01,M33,25.1
M33,M01,25.1
M01,M34,24.9
M34,M01,24.9
M01,M35,24.5
M35,M01,24.5
M01,M36,16.2
M36,M01,16.2
M01,M37,2.1
M37,M01,2.1
M01,M38,12.0
M38,M01,12.0
M01,M39,30.3
M39,M01,30.3
M01,M40,36.3
M40,M01,36.3
M01,M41,16.9
M41,M01,16.9
M01,M42,18.8
M42,M01,18.8
M01,M43,14.1
M43,M01,14.1
M01,M44,11.1
M44,M01,11.1
M01,M45,27.5
M45,M01,27.5
M01,M46,16.2
M46,M01,16.2
M01,M47,31.9
M47,M01,31.9
M01,M48,9.4
M48,M01,9.4
M01,M49,57.9
M49,M01,57.9
M01,M50,25.1
M50,M01,25.1
M01,M51,17.2
M51,M01,17.2
M01,M52,57.5
M52,M01,57.5
M01,M53,8.0
M53,M01,8.0
M01,M54,38.4
M54,M01,38.4
M01,M55,16.9
M55,M01,16.9
M01,M56,24.5
M56,M01,24.5
M01,M57,1.9
M57,M01,1.9
M01,M58,28.5
M58,M01,28.5
M01,M59,24.5
M59,M01,24.5
M01,M60,63.9
M60,M01,63.9
M02,M03,16.5
M03,M02,16.5
M02,M04,27.2
M04,M02,27.2
M02,M05,18.4
M05,M02,18.4
M02,M06,9.0
M06,M02,9.0
M02,M07,3.1
M07,M02,3.1
M02,M08,9.6
M08,M02,9.6
M02,M09,37.0
M09,M02,37.0
M02,M10,12.3
M10,M02,12.3
M02,M11,9.8
M11,M02,9.8
M02,M12,28.1
M12,M02,28.1
M02,M13,14.7
M13,M02,14.7
M02,M14,19.4
M14,M02,19.4
M02,M15,5.4
M15,M02,5.4
M02,M16,31.0
M16,M02,31.0
M02,M17,12.5
M17,M02,12.5
M02,M18,37.9
M18,M02,37.9
M02,M19,13.7
M19,M02,13.7
M02,M20,18.7
M20,M02,18.7
M02,M21,33.6
M21,M02,33.6
M02,M22,18.9
M22,M02,18.9
M02,M23,6.9
M23,M02,6.9
M02,M24,19.4
M24,M02,19.4
M02,M25,19.5
M25,M02,19.5
M02,M26,37.7
M26,M02,37.7
M02,M27,12.3
M27,M02,12.3
M02,M28,6.3
M28,M02,6.3
M02,M29,22.2
M29,M02,22.2
M02,M30,20.6
M30,M02,20.6
M02,M31,11.0
M31,M02,11.0
M02,M32,16.2
M32,M02,16.2
M02,M33,18.7
M33,M02,18.7
M02,M34,21.7
M34,M02,21.7
M02,M35,12.8
M35,M02,12.8
M02,M36,19.0
M36,M02,19.0
M02,M37,19.4
M37,M02,19.4
M02,M38,12.8
M38,M02,12.8
M02,M39,37.6
M39,M02,37.6
M02,M40,33.9
M40,M02,33.9
M02,M41,16.5
M41,M02,16.5
M02,M42,4.1
M42,M02,4.1
M02,M43,4.1
M43,M02,4.1
M02,M44,6.4
M44,M02,6.4
M02,M45,20.7
M45,M02,20.7
M02,M46,9.1
M46,M02,9.1
M02,M47,16.6
M47,M02,16.6
M02,M48,8.6
M48,M02,8.6
M02,M49,51.9
M49,M02,51.9
M02,M50,13.7
M50,M02,13.7
M02,M51,16.7
M51,M02,16.7
M02,M52,52.3
M52,M02,52.3
M02,M53,23.3
M53,M02,23.3
M02,M54,34.6
M54,M02,34.6
M02,M55,1.7
M55,M02,1.7
M02,M56,9.5
M56,M02,9.5
M02,M57,17.4
M57,M02,17.4
M02,M58,21.8
M58,M02,21.8
M02,M59,12.9
M59,M02,12.9
M02,M60,57.1
M60,M02,57.1
M03,M04,14.9
M04,M03,14.9
M03,M05,32.7
M05,M03,32.7
M03,M06,25.5
M06,M03,25.5
M03,M07,18.0
M07,M03,18.0
M03,M08,17.5
M08,M03,17.5
M03,M09,50.2
M09,M03,50.2
M03,M10,28.4
M10,M03,28.4
M03,M11,13.1
M11,M03,13.1
M03,M12,24.9
M12,M03,24.9
M03,M13,31.3
M13,M03,31.3
M03,M14,35.9
M14,M03,35.9
M03,M15,19.6
M15,M03,19.6
M03,M16,25.0
M16,M03,25.0
M03,M17,28.7
M17,M03,28.7
M03,M18,31.8
M18,M03,31.8
M03,M19,18.6
M19,M03,18.6
M03,M20,10.6
M20,M03,10.6
M03,M21,48.0
M21,M03,48.0
M03,M22,35.3
M22,M03,35.3
M03,M23,17.6
M23,M03,17.6
M03,M24,4.1
M24,M03,4.1
M03,M25,4.1
M25,M03,4.1
M03,M26,50.9
M26,M03,50.9
M03,M27,28.8
M27,M03,28.8
M03,M28,12.8
M28,M03,12.8
M03,M29,34.9
M29,M03,34.9
M03,M30,34.5
M30,M03,34.5
M03,M31,16.6
M31,M03,16.6
M03,M32,32.8
M32,M03,32.8
M03,M33,33.2
M33,M03,33.2
M03,M34,34.9
M34,M03,34.9
M03,M35,13.6
M35,M03,13.6
M03,M36,2.5
M36,M03,2.5
M03,M37,17.1
M37,M03,17.1
M03,M38,4.5
M38,M03,4.5
M03,M39,44.9
M39,M03,44.9
M03,M40,47.2
M40,M03,47.2
M03,M41,1.9
M41,M03,1.9
M03,M42,20.3
M42,M03,20.3
M03,M43,16.4
M43,M03,16.4
M03,M44,13.1
M44,M03,13.1
M03,M45,35.5
M45,M03,35.5
M03,M46,22.5
M46,M03,22.5
M03,M47,33.0
M47,M03,33.0
M03,M48,15.3
M48,M03,15.3
M03,M49,67.2
M49,M03,67.2
M03,M50,13.9
M50,M03,13.9
M03,M51,2.1
M51,M03,2.1
M03,M52,67.2
M52,M03,67.2
M03,M53,14.1
M53,M03,14.1
M03,M54,48.7
M54,M03,48.7
M03,M55,17.5
M55,M03,17.5
M03,M56,26.1
M56,M03,26.1
M03,M57,16.8
M57,M03,16.8
M03,M58,36.6
M58,M03,36.6
M03,M59,13.6
M59,M03,13.6
M03,M60,72.7
M60,M03,72.7
M04,M05,37.8
M05,M04,37.8
M04,M06,35.5
M06,M04,35.5
M04,M07,27.1
M07,M04,27.1
M04,M08,22.4
M08,M04,22.4
M04,M09,52.1
M09,M04,52.1
M04,M10,39.5
M10,M04,39.5
M04,M11,27.4
M11,M04,27.4
M04,M12,39.1
M12,M04,39.1
M04,M13,40.7
M13,M04,40.7
M04,M14,45.3
M14,M04,45.3
M04,M15,27.6
M15,M04,27.6
M04,M16,38.3
M16,M04,38.3
M04,M17,39.5
M17,M04,39.5
M04,M18,44.5
M18,M04,44.5
M04,M19,33.2
M19,M04,33.2
M04,M20,8.9
M20,M04,8.9
M04,M21,51.7
M21,M04,51.7
M04,M22,45.6
M22,M04,45.6
M04,M23,24.4
M23,M04,24.4
M04,M24,16.9
M24,M04,16.9
M04,M25,10.9
M25,M04,10.9
M04,M26,52.8
M26,M04,52.8
M04,M27,38.5
M27,M04,38.5
M04,M28,21.2
M28,M04,21.2
M04,M29,37.8
M29,M04,37.8
M04,M30,39.0
M30,M04,39.0
M04,M31,31.0
M31,M04,31.0
M04,M32,42.4
M32,M04,42.4
M04,M33,38.4
M33,M04,38.4
M04,M34,38.3
M34,M04,38.3
M04,M35,28.4
M35,M04,28.4
M04,M36,13.6
M36,M04,13.6
M04,M37,13.5
M37,M04,13.5
M04,M38,15.6
M38,M04,15.6
M04,M39,41.2
M39,M04,41.2
M04,M40,49.6
M40,M04,49.6
M04,M41,16.6
M41,M04,16.6
M04,M42,29.8
M42,M04,29.8
M04,M43,25.0
M43,M04,25.0
M04,M44,21.3
M44,M04,21.3
M04,M45,40.8
M45,M04,40.8
M04,M46,28.8
M46,M04,28.8
M04,M47,43.4
M47,M04,43.4
M04,M48,21.1
M48,M04,21.1
M04,M49,71.3
M49,M04,71.3
M04,M50,28.8
M50,M04,28.8
M04,M51,16.7
M51,M04,16.7
M04,M52,70.8
M52,M04,70.8
M04,M53,5.5
M53,M04,5.5
M04,M54,51.8
M54,M04,51.8
M04,M55,27.3
M55,M04,27.3
M04,M56,35.9
M56,M04,35.9
M04,M57,15.2
M57,M04,15.2
M04,M58,41.9
M58,M04,41.9
M04,M59,28.3
M59,M04,28.3
M04,M60,77.3
M60,M04,77.3
M05,M06,13.5
M06,M05,13.5
M05,M07,15.7
M07,M05,15.7
M05,M08,15.9
M08,M05,15.9
M05,M09,18.7
M09,M05,18.7
M05,M10,16.6
M10,M05,16.6
M05,M11,28.1
M11,M05,28.1
M05,M12,45.8
M12,M05,45.8
M05,M13,12.1
M13,M05,12.1
M05,M14,13.5
M14,M05,13.5
M05,M15,13.5
M15,M05,13.5
M05,M16,49.1
M16,M05,49.1
M05,M17,16.0
M17,M05,16.0
M05,M18,55.9
M18,M05,55.9
M05,M19,30.8
M19,M05,30.8
M05,M20,29.2
M20,M05,29.2
M05,M21,15.4
M21,M05,15.4
M05,M22,16.6
M22,M05,16.6
M05,M23,15.1
M23,M05,15.1
M05,M24,36.3
M24,M05,36.3
M05,M25,34.2
M25,M05,34.2
M05,M26,19.4
M26,M05,19.4
M05,M27,12.3
M27,M05,12.3
M05,M28,20.0
M28,M05,20.0
M05,M29,5.4
M29,M05,5.4
M05,M30,2.2
M30,M05,2.2
M05,M31,28.4
M31,M05,28.4
M05,M32,13.2
M32,M05,13.2
M05,M33,0.8
M33,M05,0.8
M05,M34,4.3
M34,M05,4.3
M05,M35,31.1
M35,M05,31.1
M05,M36,34.9
M36,M05,34.9
M05,M37,24.9
M37,M05,24.9
M05,M38,28.3
M38,M05,28.3
M05,M39,24.4
M39,M05,24.4
M05,M40,15.5
M40,M05,15.5
M05,M41,33.3
M41,M05,33.3
M05,M42,14.6
M42,M05,14.6
M05,M43,16.6
M43,M05,16.6
M05,M44,19.6
M44,M05,19.6
M05,M45,3.0
M45,M05,3.0
M05,M46,10.2
M46,M05,10.2
M05,M47,15.7
M47,M05,15.7
M05,M48,17.8
M48,M05,17.8
M05,M49,34.5
M49,M05,34.5
M05,M50,31.9
M50,M05,31.9
M05,M51,33.6
M51,M05,33.6
