show_id,facility_id,date,start_time,duration_min,period
S0001,SH01,2026-03-07,11:00,60,history
S0002,SH01,2026-03-21,11:00,60,history
S0003,SH02,2026-03-03,18:30,60,history
S0004,SH02,2026-03-17,18:30,60,history
S0005,SH03,2026-03-01,14:00,45,history
S0006,SH03,2026-03-15,14:00,45,history
S0007,SH04,2026-03-05,18:30,45,history
S0008,SH04,2026-03-19,18:30,45,history
S0009,SH05,2026-03-07,11:00,60,history
S0010,SH05,2026-03-21,11:00,60,history
S0011,SH06,2026-03-04,18:30,60,history
S0012,SH06,2026-03-18,18:30,60,history
S0013,SH07,2026-03-03,18:30,60,history
S0014,SH07,2026-03-17,18:30,60,history
S0015,SH01,2026-04-04,11:00,60,history
S0016,SH01,2026-04-18,11:00,60,history
S0017,SH02,2026-04-07,18:30,60,history
S0018,SH02,2026-04-21,18:30,60,history
S0019,SH03,2026-04-05,14:00,45,history
S0020,SH03,2026-04-19,14:00,45,history
S0021,SH04,2026-04-02,18:30,45,history
S0022,SH04,2026-04-16,18:30,45,history
S0023,SH05,2026-04-04,11:00,60,history
S0024,SH05,2026-04-18,11:00,60,history
S0025,SH06,2026-04-01,18:30,60,history
S0026,SH06,2026-04-15,18:30,60,history
S0027,SH07,2026-04-07,18:30,60,history
S0028,SH07,2026-04-21,18:30,60,history
S0029,SH01,2026-05-02,11:00,60,history
S0030,SH01,2026-05-16,11:00,60,history
S0031,SH02,2026-05-05,18:30,60,history
S0032,SH02,2026-05-19,18:30,60,history
S0033,SH03,2026-05-03,14:00,45,history
S0034,SH03,2026-05-17,14:00,45,history
S0035,SH04,2026-05-07,18:30,45,history
S0036,SH04,2026-05-21,18:30,45,history
S0037,SH05,2026-05-02,11:00,60,history
S0038,SH05,2026-05-16,11:00,60,history
S0039,SH06,2026-05-06,18:30,60,history
S0040,SH06,2026-05-20,18:30,60,history
S0041,SH07,2026-05-05,18:30,60,history
S0042,SH07,2026-05-19,18:30,60,history
S0043,SH01,2026-06-06,11:00,60,history
S0044,SH01,2026-06-20,11:00,60,history
S0045,SH02,2026-06-02,18:30,60,history
S0046,SH02,2026-06-16,18:30,60,history
S0047,SH03,2026-06-07,14:00,45,history
S0048,SH03,2026-06-21,14:00,45,history
S0049,SH04,2026-06-04,18:30,45,history
S0050,SH04,2026-06-18,18:30,45,history
S0051,SH05,2026-06-06,11:00,60,history
S0052,SH05,2026-06-20,11:00,60,history
S0053,SH06,2026-06-03,18:30,60,history
S0054,SH06,2026-06-17,18:30,60,history
S0055,SH07,2026-06-02,18:30,60,history
S0056,SH07,2026-06-16,18:30,60,history
S0057,SH01,2026-07-04,11:00,60,history
S0058,SH01,2026-07-18,11:00,60,history
S0059,SH02,2026-07-07,18:30,60,history
S0060,SH02,2026-07-21,18:30,60,history
S0061,SH03,2026-07-05,14:00,45,history
S0062,SH03,2026-07-19,14:00,45,history
S0063,SH04,2026-07-02,18:30,45,history
S0064,SH04,2026-07-16,18:30,45,history
S0065,SH05,2026-07-04,11:00,60,history
S0066,SH05,2026-07-18,11:00,60,history
S0067,SH06,2026-07-01,18:30,60,history
S0068,SH06,2026-07-15,18:30,60,history
S0069,SH07,2026-07-07,18:30,60,history
S0070,SH07,2026-07-21,18:30,60,history
S0071,SH01,2026-08-01,11:00,60,history
S0072,SH01,2026-08-15,11:00,60,history
S0073,SH02,2026-08-04,18:30,60,history
S0074,SH02,2026-08-18,18:30,60,history
S0075,SH03,2026-08-02,14:00,45,history
S0076,SH03,2026-08-16,14:00,45,history
S0077,SH04,2026-08-06,18:30,45,history
S0078,SH04,2026-08-20,18:30,45,history
S0079,SH05,2026-08-01,11:00,60,history
S0080,SH05,2026-08-15,11:00,60,history
S0081,SH06,2026-08-05,18:30,60,history
S0082,SH06,2026-08-19,18:30,60,history
S0083,SH07,2026-08-04,18:30,60,history
S0084,SH07,2026-08-18,18:30,60,history
S0085,SH01,2026-10-03,11:00,60,upcoming
S0086,SH01,2026-10-17,11:00,60,upcoming
S0087,SH02,2026-10-06,18:30,60,upcoming
S0088,SH02,2026-10-20,18:30,60,upcoming
S0089,SH03,2026-10-04,14:00,45,upcoming
S0090,SH03,2026-10-18,14:00,45,upcoming
S0091,SH04,2026-10-01,18:30,45,upcoming
S0092,SH04,2026-10-15,18:30,45,upcoming
S0093,SH05,2026-10-03,11:00,60,upcoming
S0094,SH05,2026-10-17,11:00,60,upcoming
S0095,SH06,2026-10-07,18:30,60,upcoming
S0096,SH06,2026-10-21,18:30,60,upcoming
S0097,SH07,2026-10-06,18:30,60,upcoming
S0098,SH07,2026-10-20,18:30,60,upcoming
S0099,SH01,2026-11-07,11:00,60,upcoming
S0100,SH01,2026-11-21,11:00,60,upcoming
S0101,SH02,2026-11-03,18:30,60,upcoming
S0102,SH02,2026-11-17,18:30,60,upcoming
S0103,SH03,2026-11-01,14:00,45,upcoming
S0104,SH03,2026-11-15,14:00,45,upcoming
S0105,SH04,2026-11-05,18:30,45,upcoming
S0106,SH04,2026-11-19,18:30,45,upcoming
S0107,SH05,2026-11-07,11:00,60,upcoming
S0108,SH05,2026-11-21,11:00,60,upcoming
S0109,SH06,2026-11-04,18:30,60,upcoming
S0110,SH06,2026-11-18,18:30,60,upcoming
S0111,SH07,2026-11-03,18:30,60,upcoming
S0112,SH07,2026-11-17,18:30,60,upcoming
