musician_id,weekday,start_time,end_time
M01,Mon,09:00,21:00
M01,Wed,12:30,17:00
M01,Fri,09:00,21:00
M02,Wed,09:00,21:00
M02,Fri,12:30,17:00
M03,Thu,12:30,17:00
M03,Sat,09:00,21:00
M03,Sun,12:30,17:00
M04,Mon,17:00,21:00
M04,Tue,12:30,17:00
M04,Fri,17:00,21:00
M04,Sun,09:00,21:00
M05,Tue,12:30,17:00
M05,Sun,09:00,21:00
M06,Wed,09:00,21:00
M06,Sat,09:00,21:00
M06,Sun,09:00,12:30
M07,Mon,09:00,12:30
M07,Wed,09:00,21:00
M07,Thu,17:00,21:00
M07,Sat,17:00,21:00
M07,Sun,09:00,21:00
M08,Tue,09:00,21:00
M08,Thu,12:30,17:00
M08,Sat,09:00,21:00
M09,Mon,09:00,21:00
M09,Wed,09:00,21:00
M09,Thu,09:00,21:00
M09,Fri,09:00,12:30
M09,Sat,17:00,21:00
M10,Mon,09:00,21:00
M10,Tue,09:00,12:30
M10,Wed,17:00,21:00
M10,Thu,12:30,17:00
M10,Fri,17:00,21:00
M10,Sat,09:00,21:00
M11,Tue,12:30,17:00
M11,Wed,17:00,21:00
M11,Thu,09:00,21:00
M11,Sun,09:00,12:30
M12,Mon,09:00,21:00
M12,Tue,09:00,21:00
M12,Fri,09:00,21:00
M12,Sat,09:00,12:30
M13,Wed,09:00,21:00
M13,Fri,12:30,17:00
M13,Sun,09:00,21:00
M14,Mon,09:00,21:00
M14,Fri,09:00,12:30
M14,Sun,12:30,17:00
M15,Thu,17:00,21:00
M15,Fri,17:00,21:00
M15,Sun,09:00,21:00
M16,Tue,09:00,21:00
M16,Wed,17:00,21:00
M16,Fri,09:00,21:00
M16,Sat,09:00,21:00
M17,Mon,09:00,12:30
M17,Tue,09:00,21:00
M18,Tue,09:00,12:30
M18,Thu,09:00,21:00
M18,Sat,09:00,12:30
M19,Mon,09:00,21:00
M19,Thu,12:30,17:00
M19,Sat,09:00,21:00
M20,Mon,09:00,12:30
